remoteness, sa3_code, yr
"Inner Regional Australia","10101",2012
"Major Cities of Australia","10102",2012
"Outer Regional Australia","10103",2012
"Outer Regional Australia","10104",2012
"Major Cities of Australia","10201",2012
"Major Cities of Australia","10202",2012
"Inner Regional Australia","10301",2012
"Outer Regional Australia","10302",2012
"Inner Regional Australia","10303",2012
"Inner Regional Australia","10304",2012
"Inner Regional Australia","10401",2012
"Inner Regional Australia","10402",2012
"Remote Australia","10501",2012
"Outer Regional Australia","10502",2012
"Inner Regional Australia","10503",2012
"Inner Regional Australia","10601",2012
"Major Cities of Australia","10602",2012
"Inner Regional Australia","10603",2012
"Inner Regional Australia","10604",2012
"Major Cities of Australia","10701",2012
"Inner Regional Australia","10702",2012
"Major Cities of Australia","10703",2012
"Major Cities of Australia","10704",2012
"Inner Regional Australia","10801",2012
"Outer Regional Australia","10802",2012
"Very Remote Australia","10803",2012
"Inner Regional Australia","10804",2012
"Inner Regional Australia","10805",2012
"Inner Regional Australia","10901",2012
"Outer Regional Australia","10902",2012
"Inner Regional Australia","10903",2012
"Inner Regional Australia","11001",2012
"Outer Regional Australia","11002",2012
"Outer Regional Australia","11003",2012
"Inner Regional Australia","11004",2012
"Major Cities of Australia","11101",2012
"Major Cities of Australia","11102",2012
"Major Cities of Australia","11103",2012
"Inner Regional Australia","11201",2012
"Inner Regional Australia","11202",2012
"Major Cities of Australia","11203",2012
"Outer Regional Australia","11301",2012
"Inner Regional Australia","11302",2012
"Inner Regional Australia","11303",2012
"Inner Regional Australia","11401",2012
"Inner Regional Australia","11402",2012
"Major Cities of Australia","11501",2012
"Major Cities of Australia","11502",2012
"Inner Regional Australia","11503",2012
"Major Cities of Australia","11504",2012
"Major Cities of Australia","11601",2012
"Inner Regional Australia","12402",2012
"Major Cities of Australia","11602",2012
"Major Cities of Australia","11603",2012
"Major Cities of Australia","11701",2012
"Major Cities of Australia","11801",2012
"Major Cities of Australia","11703",2012
"Major Cities of Australia","11802",2012
"Major Cities of Australia","11901",2012
"Major Cities of Australia","11702",2012
"Major Cities of Australia","11902",2012
"Major Cities of Australia","11903",2012
"Major Cities of Australia","11904",2012
"Major Cities of Australia","12001",2012
"Major Cities of Australia","12002",2012
"Major Cities of Australia","12003",2012
"Major Cities of Australia","12101",2012
"Major Cities of Australia","12102",2012
"Major Cities of Australia","12103",2012
"Major Cities of Australia","12104",2012
"Major Cities of Australia","12201",2012
"Major Cities of Australia","12202",2012
"Major Cities of Australia","12203",2012
"Major Cities of Australia","12301",2012
"Major Cities of Australia","12302",2012
"Inner Regional Australia","12303",2012
"Major Cities of Australia","12401",2012
"Major Cities of Australia","12403",2012
"Major Cities of Australia","12404",2012
"Major Cities of Australia","12405",2012
"Major Cities of Australia","12501",2012
"Major Cities of Australia","12502",2012
"Major Cities of Australia","12503",2012
"Major Cities of Australia","12504",2012
"Major Cities of Australia","12601",2012
"Major Cities of Australia","12602",2012
"Major Cities of Australia","12701",2012
"Major Cities of Australia","12702",2012
"Major Cities of Australia","12703",2012
"Major Cities of Australia","12801",2012
"Major Cities of Australia","12802",2012
"Inner Regional Australia","20101",2012
"Inner Regional Australia","20102",2012
"Inner Regional Australia","20103",2012
"Inner Regional Australia","20201",2012
"Inner Regional Australia","20202",2012
"Inner Regional Australia","20203",2012
