bachelor_degree_level_tot_2016, advanced_diploma_diploma_level_tot_2016, no_scl_tot_2016, graduate_diploma_graduate_certificate_level_tot_2016, yr_12_equivalent_tot_2016, remoteness, postgraduate_degree_level_tot_2016, certificate_level_tot_2016, est_res_pop, sa3_code, yr, unemployed_tot, longitude, latitude, labour_force_tot
5543,4822,260,961,22048,"Inner Regional Australia",1503,11029,73068,"10101",2016,1383,149.0763309,-34.55398674,35948
6479,4576,181,1305,25224,"Major Cities of Australia",2774,7768,58653,"10102",2016,673,149.601273,-35.44938606,34314
1716,1352,66,235,6858,"Outer Regional Australia",395,3397,20069,"10103",2016,335,148.9415727,-36.43958098,10704
5909,5003,137,1219,22188,"Outer Regional Australia",1363,12010,71973,"10104",2016,1881,149.806337,-36.49930235,30429
17770,14119,365,2351,63524,"Major Cities of Australia",4538,26480,174686,"10201",2016,4005,151.2181666,-33.36541784,99165
9639,10549,438,1247,44081,"Major Cities of Australia",1855,28085,160171,"10202",2016,5526,151.3816976,-33.22581893,84281
4068,2953,114,701,15407,"Inner Regional Australia",1019,7323,48425,"10301",2016,1000,149.6382815,-33.6304258,26076
3215,2778,155,433,13458,"Outer Regional Australia",446,8144,57166,"10302",2016,1518,147.4703246,-33.32604413,28799
2788,2519,113,409,11575,"Inner Regional Australia",502,7886,47258,"10303",2016,1328,149.8434454,-32.73348404,23565
5414,3809,164,775,18264,"Inner Regional Australia",1318,8777,60105,"10304",2016,1252,148.9318617,-33.27061993,32315
3099,2980,126,496,12660,"Inner Regional Australia",571,8614,50786,"10401",2016,1458,152.7806855,-29.61894725,23159
8061,6435,372,1174,27415,"Inner Regional Australia",1566,13737,87383,"10402",2016,2230,152.7580898,-30.27335968,44368
1342,1080,135,135,5587,"Remote Australia",204,2868,26328,"10501",2016,951,146.4140878,-30.7258921,13240
991,912,49,188,4187,"Outer Regional Australia",207,3149,21309,"10502",2016,800,142.7174528,-31.09501969,10081
5212,3787,182,703,19326,"Inner Regional Australia",962,10582,71532,"10503",2016,1759,148.8397891,-31.85906414,35938
4591,4769,167,638,20668,"Inner Regional Australia",877,16342,90034,"10601",2016,2303,151.2242071,-32.62379473,44599
5550,5112,151,775,21887,"Major Cities of Australia",1251,13400,74626,"10602",2016,1578,151.5487316,-32.70976669,38422
4741,5292,191,663,20040,"Inner Regional Australia",1068,13348,74065,"10603",2016,1533,151.9035572,-32.69742503,34219
1669,1544,73,202,7410,"Inner Regional Australia",281,5175,31940,"10604",2016,753,150.7001015,-32.1087795,16926
4886,4929,710,695,21920,"Major Cities of Australia",1316,12687,77658,"10701",2016,3369,150.79923,-34.48809696,37517
0,0,0,0,3,"Inner Regional Australia",0,0,13,"10702",2016,0,150.7154585,-34.36944615,0
7130,6772,368,1140,27595,"Major Cities of Australia",1771,15795,92337,"10703",2016,3040,150.7664797,-34.6478533,47533
17162,10063,681,2441,55512,"Major Cities of Australia",6789,17780,133582,"10704",2016,4093,150.9320312,-34.2520735,70824
1880,2082,74,285,7624,"Inner Regional Australia",380,5530,32187,"10801",2016,814,152.1572694,-32.3351385,12905
2770,2687,128,419,11234,"Outer Regional Australia",454,8125,49704,"10802",2016,1545,152.6452218,-30.86236473,20230
44,27,0,3,162,"Very Remote Australia",9,78,402,"10803",2016,3,159.0768055,-31.55255042,252
6428,5972,153,1001,23619,"Inner Regional Australia",1361,13442,78980,"10804",2016,1672,152.531271,-31.41013988,35954
3270,3485,116,558,13284,"Inner Regional Australia",600,9054,54428,"10805",2016,1673,152.0660402,-31.84246377,23957
5395,4227,307,942,19778,"Inner Regional Australia",1168,9993,62624,"10901",2016,1735,147.1756889,-35.76678218,25655
661,631,46,102,3005,"Outer Regional Australia",93,1756,12863,"10902",2016,341,143.2934771,-33.86564261,5091
