opf_no_chu15_a_dss_no_ndch_p, opf_no_chu15_a_total_f, total_p, sa3_code16, other_family_p, opf_chu15_a_total_f, opf_no_chu15_a_dss_a_ndch_p, opf_no_chu15_no_dss_a_ndch_f, opf_no_chu15_a_total_p, opf_total_f, opf_chu15_a_total_p, opf_no_chu15_a_dss_a_ndch_f, opf_no_chu15_no_dss_a_ndch_p, opf_chu15_a_no_dss_a_ndch_p, opf_no_chu15_a_dss_no_ndch_f, other_family_f, opf_total_p, sa3_name16, total_f
419,994,44276,"10102",370,1081,253,722,2231,2072,2987,76,1562,221,194,180,5214,"Queanbeyan",15092
156,355,13190,"10103",103,335,53,259,752,682,958,20,547,63,74,52,1712,"Snowy Mountains",4808
560,1387,50111,"10104",399,1544,278,1026,2936,2929,4584,91,2105,390,270,195,7522,"South Coast",19216
280,733,25950,"10105",263,824,113,554,1565,1551,2474,36,1167,248,134,129,4039,"Goulburn - Mulwaree",9184
264,608,27619,"10106",240,744,121,448,1317,1350,2277,42,927,190,119,118,3588,"Young - Yass",9571
1732,4298,130513,"10201",1227,3629,1147,3141,9582,7926,10571,371,6701,1015,789,594,20155,"Gosford",45495
1472,4236,122809,"10202",1253,4700,1065,3236,9551,8939,14159,330,7014,1460,674,607,23703,"Wyong",42378
413,857,33318,"10301",286,1157,208,601,1892,2019,3449,61,1272,253,192,138,5336,"Bathurst",11480
389,1065,39889,"10302",461,1325,193,823,2328,2391,4063,67,1742,298,182,224,6384,"Lachlan Valley",14100
347,912,32821,"10303",322,1082,160,704,1980,1996,3222,49,1475,254,165,154,5205,"Lithgow - Mudgee",11638
457,1055,43494,"10304",355,1425,200,780,2290,2478,4254,63,1631,356,211,165,6542,"Orange",14819
403,1099,36463,"10401",398,1328,274,827,2439,2435,4010,91,1758,398,187,190,6442,"Clarence Valley",13439
820,1989,63533,"10402",493,2382,467,1463,4381,4372,7048,146,3092,618,385,238,11428,"Coffs Harbour",22814
116,486,16130,"10501",267,754,45,408,1066,1237,2464,14,905,250,54,128,3530,"Bourke - Cobar - Coonamble",5662
145,511,13757,"10502",180,669,83,419,1135,1176,2010,28,898,179,66,84,3140,"Broken Hill and Far West",5059
503,1330,50325,"10503",642,2038,316,986,2938,3368,6369,97,2122,564,238,308,9311,"Dubbo",17577
631,1828,67048,"10601",637,2459,412,1401,4076,4286,7525,130,3036,724,289,303,11603,"Lower Hunter",22874
673,1577,60233,"10602",572,2010,457,1114,3500,3585,6075,150,2376,445,306,276,9580,"Maitland",20357
475,1472,54126,"10603",439,1698,346,1137,3241,3169,5032,106,2424,459,228,208,8268,"Port Stephens",19450
201,500,22293,"10604",152,804,99,378,1082,1310,2381,32,781,172,91,76,3463,"Upper Hunter",7691
777,2116,60910,"10701",639,1918,514,1619,4825,4036,5899,154,3533,557,347,302,10724,"Dapto - Port Kembla",20487
0,0,4,"10702",0,0,0,0,0,0,0,0,0,0,0,0,0,"Illawarra Catchment Reserve",0
904,2097,72973,"10703",569,2208,559,1518,4730,4308,6519,177,3267,659,401,270,11254,"Kiama - Shellharbour",24931
1329,2926,94409,"10704",1158,2312,792,2071,6526,5241,6528,252,4404,532,606,559,13057,"Wollongong",32676
234,719,22108,"10801",225,772,114,576,1534,1491,2339,39,1192,174,106,112,3871,"Great Lakes",8551
392,1155,34220,"10802",422,1505,209,900,2521,2659,4824,68,1924,477,182,200,7347,"Kempsey - Nambucca",12523
0,4,219,"10803",3,3,0,4,8,7,3,0,8,0,0,0,10,"Lord Howe Island",87
760,1686,58273,"10804",455,1848,350,1213,3688,3531,5351,116,2577,404,359,222,9040,"Port Macquarie",21518
499,1219,39927,"10805",407,1463,244,914,2698,2689,4515,76,1957,433,231,195,7211,"Taree - Gloucester",14737
507,1111,44197,"10901",379,1504,221,797,2402,2615,4398,69,1677,331,243,183,6797,"Albury",15507
54,221,8928,"10902",72,255,43,181,470,474,772,13,385,55,28,38,1244,"Lower Murray",3177
271,661,29726,"10903",250,799,163,483,1432,1456,2280,51,998,176,132,121,3711,"Upper Murray exc. Albury",10881
294,657,25193,"11001",301,846,113,480,1410,1500,2483,36,1002,199,137,144,3891,"Armidale",8981
247,689,27198,"11002",291,1032,97,536,1465,1717,3181,32,1123,273,123,144,4647,"Inverell - Tenterfield",9897
142,476,18180,"11003",252,717,83,379,1064,1199,2294,26,833,288,72,112,3356,"Moree - Narrabri",6288
586,1604,59179,"11004",680,2257,327,1223,3559,3864,6933,107,2643,566,279,327,10494,"Tamworth - Gunnedah",20789
1314,3114,95832,"11101",848,2765,687,2308,6896,5875,8087,221,4895,665,588,412,14981,"Lake Macquarie - East",33514
664,1764,59616,"11102",509,1850,411,1331,3962,3609,5500,132,2887,477,305,245,9464,"Lake Macquarie - West",20884
1750,3950,116674,"11103",1734,3665,860,2878,8695,7615,10473,267,6092,856,803,843,19170,"Newcastle",41504
957,1795,54457,"11201",540,1899,377,1216,3833,3695,5102,127,2496,360,451,255,8936,"Richmond Valley - Coastal",20106
766,1687,50381,"11202",615,2040,393,1204,3700,3729,6129,121,2543,474,360,293,9837,"Richmond Valley - Hinterland",17869
952,2287,66989,"11203",650,2172,519,1695,5091,4462,6326,164,3610,565,429,312,11409,"Tweed Valley",24290
266,804,35092,"11301",394,1028,135,636,1768,1831,3186,40,1372,336,122,186,4951,"Griffith - Murrumbidgee (West)",11873
72,266,10398,"11302",102,298,63,211,582,566,893,18,445,70,37,47,1472,"Tumut - Tumbarumba",3776
660,1724,68342,"11303",735,2230,382,1291,3786,3950,6801,126,2743,603,305,353,10589,"Wagga Wagga",23623
805,2149,72489,"11401",627,2373,452,1627,4696,4527,7062,150,3432,694,377,304,11764,"Shoalhaven",26828
400,932,36214,"11402",241,874,219,680,2053,1801,2630,76,1427,251,181,123,4682,"Southern Highlands",13058
1346,2476,127896,"11501",761,1519,875,1647,5888,4001,4435,270,3667,326,561,358,10321,"Baulkham Hills",40218
164,461,22403,"11502",125,298,157,345,1097,764,900,51,771,81,65,62,1994,"Dural - Wisemans Ferry",7074
166,413,20451,"11503",78,350,112,306,939,772,1053,35,662,102,73,35,1989,"Hawkesbury",6648
