sa3_code16, no_chld_per_fmly_avg, year
"10102",1.8,2016
"10103",1.8,2016
"10104",1.8,2016
"10105",1.9,2016
"10106",2.0,2016
"10201",1.8,2016
"10202",1.9,2016
"10301",1.9,2016
"10302",2.0,2016
"10303",1.9,2016
"10304",1.9,2016
"10401",1.9,2016
"10402",1.8,2016
"10501",2.0,2016
"10502",1.8,2016
"10503",1.9,2016
"10801",1.8,2016
"10601",1.9,2016
"10602",1.9,2016
"10603",1.9,2016
"10604",1.9,2016
"10701",1.9,2016
"10702",null,2016
"10703",1.9,2016
"10704",1.8,2016
"10802",1.9,2016
"10803",1.7,2016
"10804",1.8,2016
"10805",1.9,2016
"10901",1.9,2016
"10902",2.0,2016
"10903",1.9,2016
"11001",1.9,2016
"11002",1.9,2016
"11003",1.9,2016
"11004",1.9,2016
"11101",1.8,2016
"11102",1.8,2016
"11103",1.8,2016
"11201",1.7,2016
"11202",1.9,2016
"11203",1.8,2016
"11301",2.0,2016
"11302",1.9,2016
"11303",2.0,2016
"11401",1.8,2016
"11402",1.9,2016
"11501",1.9,2016
"11502",2.0,2016
"11503",1.9,2016
"11504",2.0,2016
"11601",1.8,2016
"11602",1.9,2016
"11603",2.0,2016
"11701",1.7,2016
"11703",1.5,2016
"11702",1.6,2016
"11801",1.8,2016
"11802",1.7,2016
"11901",2.0,2016
"11902",1.9,2016
"11903",1.8,2016
"11904",1.7,2016
"12001",1.7,2016
"12002",1.7,2016
"12003",1.7,2016
"12101",1.7,2016
"12102",1.8,2016
"12103",1.9,2016
"12104",1.7,2016
"12201",1.8,2016
"12202",1.9,2016
"12203",1.8,2016
"12301",2.0,2016
"12302",1.9,2016
"12303",2.0,2016
"12401",1.8,2016
"12402",null,2016
"12403",1.9,2016
"12404",1.9,2016
"12405",1.9,2016
"12501",1.9,2016
"12502",1.8,2016
"12503",2.1,2016
"12504",1.7,2016
"12601",1.8,2016
"12602",1.7,2016
"12701",2.1,2016
"12702",2.0,2016
"12703",1.9,2016
"12801",1.8,2016
"12802",1.9,2016
"20101",1.9,2016
"20102",1.9,2016
"20103",1.9,2016
"20201",1.9,2016
"20202",1.8,2016
"20203",1.9,2016
"20301",2.0,2016
"20302",1.8,2016
"20303",1.9,2016
"20401",1.8,2016
"20402",1.8,2016
"20403",1.9,2016
"20501",1.9,2016
"20502",1.8,2016
"20503",1.9,2016
"20504",1.8,2016
"20505",1.9,2016
"20601",1.7,2016
"20602",1.7,2016
"20603",1.8,2016
"20604",1.5,2016
"20605",1.6,2016
"20702",1.7,2016
"20703",1.7,2016
"20801",1.9,2016
"20902",1.7,2016
"20903",1.9,2016
"20606",1.7,2016
"20904",1.9,2016
"21001",1.8,2016
"21002",2.0,2016
"21005",2.0,2016
"20803",1.8,2016
"20804",1.9,2016
"20901",1.8,2016
"20607",1.6,2016
"20701",1.9,2016
"20802",1.8,2016
"21003",1.8,2016
"21004",1.9,2016
"21101",1.8,2016
"21102",2.0,2016
"21103",1.8,2016
"21104",1.8,2016
"21105",1.9,2016
"21201",1.9,2016
"21202",1.9,2016
"21203",1.9,2016
"21204",1.8,2016
"21205",1.7,2016
"21301",1.9,2016
"21302",1.8,2016
"21303",1.7,2016
"21304",2.0,2016
"21305",1.9,2016
"21401",1.8,2016
"21402",1.8,2016
"21501",1.9,2016
"21502",1.9,2016
"21503",2.0,2016
"21601",1.9,2016
"21602",1.9,2016
"21603",1.9,2016
"21701",1.8,2016
"21703",1.9,2016
"21704",1.9,2016
"30101",1.8,2016
"30102",1.8,2016
"30103",1.8,2016
"30201",1.8,2016
"30202",1.8,2016
"30203",1.7,2016
"30204",1.7,2016
"30301",1.8,2016
"30302",1.7,2016
"30303",1.8,2016
"30304",1.8,2016
"30305",1.8,2016
"30905",1.9,2016
"30906",1.8,2016
"30907",1.9,2016
"31503",1.9,2016
"31601",1.9,2016
"31602",1.8,2016
"31603",1.7,2016
"31605",1.8,2016
"31606",1.8,2016
"31607",1.8,2016
"31608",1.8,2016
"31801",1.9,2016
"31802",1.9,2016
"31901",1.9,2016
"31902",2.0,2016
"31903",1.9,2016
"31904",1.8,2016
"30404",1.8,2016
"30306",1.8,2016
"30501",1.6,2016
"30502",1.8,2016
"30503",1.8,2016
"30504",1.9,2016
"30601",1.8,2016
"30602",1.9,2016
"30603",2.0,2016
"30604",1.8,2016
"30605",1.9,2016
"30701",1.9,2016
"30702",2.0,2016
"30703",1.9,2016
"30801",2.0,2016
"30803",1.9,2016
"30804",2.0,2016
"30805",1.9,2016
"30401",1.8,2016
"30402",1.9,2016
"30403",1.8,2016
"30901",1.7,2016
"30902",1.7,2016
"30903",1.7,2016
"30904",1.8,2016
"31003",1.9,2016
"31004",2.0,2016
"31101",1.9,2016
"30908",1.7,2016
"31102",1.9,2016
"31103",2.0,2016
"31104",2.0,2016
"31105",1.9,2016
"31106",2.0,2016
"31201",2.0,2016
"31202",1.9,2016
"31203",1.8,2016
"31301",1.8,2016
"31302",1.9,2016
"31303",1.9,2016
"31304",2.0,2016
"31305",1.8,2016
"31401",1.9,2016
"31402",1.9,2016
"31403",1.8,2016
"31501",2.1,2016
"31502",2.0,2016
"30909",1.7,2016
"30910",1.6,2016
"31001",1.9,2016
"31002",2.0,2016
"31701",1.9,2016
"31905",1.9,2016
"40101",1.5,2016
"40202",2.0,2016
"40203",1.7,2016
"40204",1.9,2016
"40205",1.8,2016
"40303",1.8,2016
"40304",1.8,2016
"40401",1.8,2016
"40102",1.9,2016
"40105",1.7,2016
"40402",1.7,2016
"40403",1.7,2016
"40501",1.9,2016
"40107",1.8,2016
"40104",1.8,2016
"40106",1.8,2016
"40502",1.9,2016
"40201",1.9,2016
"40103",1.8,2016
"40302",1.7,2016
"40503",1.9,2016
"40504",1.9,2016
"40601",1.9,2016
"40602",1.9,2016
"40701",1.8,2016
"40702",1.9,2016
"40703",1.9,2016
"50101",1.9,2016
"50102",1.9,2016
"50103",1.9,2016
"50201",1.9,2016
"50301",1.9,2016
"50302",1.7,2016
"50401",1.7,2016
"50402",1.9,2016
"50403",1.9,2016
"50501",1.8,2016
"50502",1.8,2016
"50503",1.9,2016
"50601",1.8,2016
"50602",1.7,2016
"50603",1.8,2016
"50604",1.9,2016
"50605",1.9,2016
"50606",1.9,2016
"50607",1.7,2016
"50701",1.8,2016
"50702",1.7,2016
"50703",1.9,2016
"50704",1.8,2016
"50705",1.9,2016
"50901",1.9,2016
"50902",1.9,2016
"50903",1.9,2016
"51001",2.0,2016
"51002",2.0,2016
"51003",2.0,2016
"51101",1.9,2016
"51102",1.9,2016
"51103",1.9,2016
"51104",1.9,2016
"60101",1.9,2016
"60102",1.8,2016
"60103",1.8,2016
"60104",1.9,2016
"60105",1.7,2016
"60106",1.8,2016
"60201",1.8,2016
