median_tot_hhd_inc_weekly, median_age_persons, sa3_code16, median_mortgage_repay_monthly, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
1878,38,"10102",2080,300,0.8,2296,2.6,930
1176,44,"10103",1300,220,0.8,1539,2.3,669
961,52,"10104",1387,250,0.7,1211,2.2,524
1178,43,"10105",1517,250,0.8,1491,2.4,618
1288,43,"10106",1560,225,0.8,1637,2.5,662
1330,43,"10201",1900,360,0.8,1691,2.5,632
1190,41,"10202",1733,340,0.8,1448,2.5,568
1301,38,"10301",1638,270,0.8,1616,2.5,642
1025,44,"10302",1108,175,0.7,1305,2.4,543
1054,44,"10303",1517,245,0.8,1375,2.4,529
1314,38,"10304",1603,260,0.8,1670,2.5,663
912,49,"10401",1300,255,0.8,1133,2.3,478
1086,44,"10402",1560,300,0.8,1325,2.4,557
1040,40,"10501",1000,150,0.8,1345,2.4,557
965,44,"10502",932,180,0.7,1260,2.2,524
1176,40,"10503",1365,220,0.8,1429,2.5,617
1284,38,"10601",1625,280,0.8,1543,2.6,578
1436,36,"10602",1733,320,0.8,1690,2.7,652
1158,45,"10603",1690,300,0.7,1402,2.5,563
1294,38,"10604",1700,240,0.8,1629,2.5,635
1220,40,"10701",1733,300,0.8,1486,2.6,526
0,67,"10702",0,0,0.0,0,0.0,374
1382,41,"10703",1907,350,0.8,1620,2.7,604
1413,38,"10704",2093,340,0.9,1870,2.5,620
855,54,"10801",1387,260,0.7,1079,2.2,476
869,49,"10802",1300,243,0.8,1096,2.3,471
1397,44,"10803",1867,220,0.8,1774,2.2,762
1042,48,"10804",1670,310,0.8,1299,2.3,540
905,49,"10805",1300,250,0.8,1129,2.3,476
1181,40,"10901",1387,230,0.8,1512,2.4,634
1083,44,"10902",1083,150,0.8,1345,2.4,576
1037,48,"10903",1200,190,0.7,1324,2.3,561
1159,39,"11001",1387,240,0.8,1453,2.4,569
873,46,"11002",1083,195,0.8,1122,2.3,482
1246,39,"11003",1300,175,0.8,1518,2.5,656
1174,40,"11004",1463,250,0.8,1445,2.4,620
1332,42,"11101",1800,320,0.8,1683,2.5,624
1276,43,"11102",1733,320,0.8,1499,2.6,582
1355,37,"11103",1750,340,0.8,1756,2.4,655
1137,46,"11201",1733,350,0.8,1396,2.4,592
1004,44,"11202",1330,250,0.8,1265,2.4,516
1064,47,"11203",1733,340,0.8,1332,2.4,539
1242,39,"11301",1300,200,0.8,1493,2.6,648
1120,45,"11302",1300,180,0.8,1417,2.3,577
1244,38,"11303",1408,248,0.8,1552,2.5,652
992,48,"11401",1517,280,0.7,1226,2.3,511
1334,47,"11402",1842,350,0.7,1638,2.4,645
2328,39,"11501",2500,570,0.8,2468,3.1,809
2149,43,"11502",2600,450,0.8,2308,3.1,748
1890,40,"11503",2167,360,0.8,2038,3.0,762
2407,35,"11504",2600,590,0.9,2455,3.4,854
1584,35,"11601",2000,380,0.9,1723,3.0,652
2265,33,"11602",2470,500,0.9,2305,3.3,845
1434,32,"11603",1911,330,1.0,1509,3.2,577
1626,35,"11701",2400,460,1.1,1921,2.7,720
1935,32,"11703",2500,570,1.2,2526,2.0,956
1916,34,"11802",2600,550,1.0,2421,2.5,834
1332,35,"11901",2100,400,1.0,1485,3.1,509
1268,35,"11902",2000,370,1.1,1370,3.0,492
1571,37,"11903",2167,430,1.0,1765,2.9,612
1600,35,"11904",2167,460,1.1,1763,2.7,667
2073,37,"12001",2500,570,1.0,2386,2.6,895
2443,38,"12002",3000,580,1.0,3324,2.4,1235
1733,34,"12003",2167,460,1.1,1958,2.7,700
2311,36,"12101",2750,560,1.0,2784,2.6,1027
2008,38,"12102",2300,480,1.0,2248,2.8,793
2642,41,"12103",3000,650,0.9,3048,3.0,942
2393,38,"12104",2700,570,1.0,3353,2.1,1361
2620,38,"12201",3033,650,1.0,3339,2.5,1193
2121,44,"12202",2817,600,0.9,2431,2.8,874
2095,39,"12203",2600,530,1.0,2427,2.7,871
2048,34,"12301",2167,450,0.8,2181,3.1,820
1458,34,"12302",1842,350,0.9,1596,3.0,630
1813,37,"12303",2167,360,0.8,1978,3.0,724
1468,44,"12401",1842,350,0.8,1866,2.5,689
0,60,"12402",0,0,0.0,0,1.0,0
1711,34,"12403",2000,370,0.8,1933,2.8,751
1483,36,"12404",1950,360,0.8,1752,2.7,688
1532,34,"12405",1863,370,0.9,1694,2.9,683
1469,32,"12501",2000,450,1.2,1410,3.1,519
1695,38,"12502",2167,438,0.9,1896,2.9,645
1282,33,"12503",2000,380,1.1,1403,3.1,490
1718,34,"12504",2080,420,1.1,1879,2.8,722
2205,39,"12601",2500,530,0.9,2441,3.0,797
1831,36,"12602",2300,460,1.0,2167,2.7,749
1720,33,"12701",2167,400,0.9,1760,3.4,614
1944,35,"11702",2500,460,1.0,2312,2.4,900
2422,36,"11801",3000,630,1.0,3245,2.3,1238
1245,37,"12702",1820,350,1.0,1279,3.3,442
1504,34,"12703",2100,360,1.0,1665,3.1,603
1866,41,"12801",2500,450,0.9,2277,2.6,839
2096,39,"12802",2383,440,0.9,2343,2.9,833
1171,38,"20101",1374,250,0.8,1499,2.4,592
1120,47,"20102",1387,230,0.8,1405,2.4,561
838,49,"20103",1083,190,0.8,1097,2.3,464
1176,38,"20201",1387,250,0.8,1451,2.4,609
1185,46,"20202",1439,260,0.8,1479,2.4,590
937,49,"20203",1000,140,0.8,1231,2.3,487
1480,40,"20301",1650,260,0.8,1671,2.8,646
1234,39,"20302",1517,280,0.8,1573,2.4,595
1377,44,"20303",1733,330,0.7,1702,2.5,662
1095,46,"20401",1300,230,0.8,1386,2.3,570
1045,46,"20402",1300,200,0.7,1347,2.3,578
1205,42,"20403",1387,240,0.8,1483,2.4,636
1198,42,"20501",1465,250,0.8,1463,2.5,585
934,50,"20502",1291,220,0.7,1190,2.2,505
970,48,"20503",1300,231,0.7,1243,2.3,519
1077,41,"20504",1200,200,0.8,1414,2.3,544
1103,43,"20505",1300,210,0.7,1412,2.3,563
1655,34,"20601",2000,380,1.0,2100,2.4,763
1726,36,"20602",2058,365,1.0,2284,2.4,834
1701,35,"20603",2167,341,0.9,2281,2.4,818
1354,28,"20604",2000,450,1.1,2062,2.0,642
1842,36,"20605",2167,400,1.0,2559,2.0,1087
1331,32,"21005",1681,320,1.0,1399,3.2,491
1561,39,"21101",1733,351,0.8,1820,2.7,664
2083,43,"21102",2167,391,0.8,2363,3.0,735
1543,38,"21103",1800,340,0.8,1895,2.6,696
1571,40,"21104",2000,366,0.8,1900,2.6,658
1501,40,"21105",1733,325,0.8,1768,2.7,667
1497,34,"21201",1733,320,0.8,1701,2.8,679
